Period,Sender,Receiver,Group,OthersContribution,OthersPercentContribution,Points
4,3,2,5,7,35,-1
4,3,17,5,3,15,-4
4,3,23,5,20,100,0
4,4,1,1,20,100,0
4,4,15,1,20,100,0
4,4,24,1,20,100,0
4,5,7,4,10,50,0
4,5,18,4,20,100,0
4,5,20,4,15,75,0
4,6,8,6,15,75,0
4,6,11,6,20,100,0
4,6,16,6,18,90,0
4,7,5,4,20,100,0
4,7,18,4,20,100,0
4,7,20,4,15,75,0
4,8,6,6,15,75,0
4,8,11,6,20,100,0
4,8,16,6,18,90,0
4,9,12,2,13,65,0
4,9,19,2,15,75,0
4,9,22,2,3,15,-3
4,10,13,3,13,65,0
4,10,14,3,20,100,0
4,10,21,3,10,50,-1
4,11,6,6,15,75,-2
4,11,8,6,15,75,-2
4,11,16,6,18,90,-2
4,12,9,2,15,75,0
4,12,19,2,15,75,0
4,12,22,2,3,15,0
4,13,10,3,20,100,0
4,13,14,3,20,100,0
4,13,21,3,10,50,0
4,14,10,3,20,100,0
4,14,13,3,13,65,0
4,14,21,3,10,50,0
4,15,1,1,20,100,0
4,15,4,1,15,75,0
4,15,24,1,20,100,0
4,16,6,6,15,75,0
4,16,8,6,15,75,0
4,16,11,6,20,100,0
4,17,2,5,7,35,0
4,17,3,5,15,75,0
4,17,23,5,20,100,0
4,18,5,4,20,100,0
4,18,7,4,10,50,0
4,18,20,4,15,75,0
4,19,9,2,15,75,0
4,19,12,2,13,65,0
4,19,22,2,3,15,-2
4,20,5,4,20,100,0
4,20,7,4,10,50,-1
4,20,18,4,20,100,0
4,21,10,3,20,100,0
4,21,13,3,13,65,0
4,21,14,3,20,100,0
4,22,9,2,15,75,0
4,22,12,2,13,65,0
4,22,19,2,15,75,0
4,23,2,5,7,35,0
4,23,3,5,15,75,0
4,23,17,5,3,15,0
4,24,1,1,20,100,0
4,24,4,1,15,75,-1
4,24,15,1,20,100,0
5,1,4,3,20,100,0
5,1,20,3,20,100,0
5,1,21,3,15,75,-2
5,2,8,1,16,80,0
5,2,9,1,14,70,0
5,2,15,1,20,100,0
5,3,10,4,20,100,0
5,3,13,4,20,100,0
5,3,22,4,3,15,-3
5,4,1,3,20,100,0
5,4,20,3,20,100,0
5,4,21,3,15,75,-2
5,5,6,6,18,90,0
5,5,17,6,0,0,0
5,5,19,6,15,75,0
5,6,5,6,20,100,0
5,6,17,6,0,0,0
5,6,19,6,15,75,0
5,7,14,2,20,100,0
5,7,23,2,13,65,0
5,7,24,2,20,100,0
5,8,2,1,7,35,-2
5,8,9,1,14,70,0
5,8,15,1,20,100,0
5,9,2,1,7,35,-1
5,9,8,1,16,80,0
5,9,15,1,20,100,0
5,10,3,4,15,75,0
5,10,13,4,20,100,0
5,10,22,4,3,15,-3
5,11,12,5,7,35,-10
5,11,16,5,17,85,0
5,11,18,5,20,100,0
5,12,11,5,20,100,0
5,12,16,5,17,85,0
5,12,18,5,20,100,0
5,13,3,4,15,75,0
5,13,10,4,20,100,0
5,13,22,4,3,15,-1
5,14,7,2,15,75,0
5,14,23,2,13,65,0
5,14,24,2,20,100,0
5,15,2,1,7,35,0
5,15,8,1,16,80,0
5,15,9,1,14,70,0
5,16,11,5,20,100,0
5,16,12,5,7,35,0
5,16,18,5,20,100,0
5,17,5,6,20,100,0
5,17,6,6,18,90,0
5,17,19,6,15,75,0
5,18,11,5,20,100,0
5,18,12,5,7,35,0
5,18,16,5,17,85,0
5,19,5,6,20,100,0
5,19,6,6,18,90,0
5,19,17,6,0,0,-4
5,20,1,3,20,100,0
5,20,4,3,20,100,0
5,20,21,3,15,75,0
5,21,1,3,20,100,0
5,21,4,3,20,100,0
5,21,20,3,20,100,0
5,22,3,4,15,75,0
5,22,10,4,20,100,0
5,22,13,4,20,100,0
5,23,7,2,15,75,0
5,23,14,2,20,100,0
5,23,24,2,20,100,0
5,24,7,2,15,75,-1
5,24,14,2,20,100,0
5,24,23,2,13,65,-2
6,1,13,2,12,60,-3
6,1,15,2,17,85,0
6,1,18,2,20,100,0
6,2,16,4,16,80,0
6,2,20,4,20,100,0
6,2,22,4,2,10,-2
6,3,10,1,17,85,-2
6,3,11,1,20,100,0
6,3,12,1,19,95,0
6,4,6,3,18,90,0
6,4,7,3,17,85,0
6,4,17,3,5,25,-4
6,5,8,5,16,80,0
6,5,19,5,10,50,0
6,5,23,5,20,100,0
6,6,4,3,20,100,0
6,6,7,3,17,85,0
6,6,17,3,5,25,0
6,7,4,3,20,100,0
6,7,6,3,18,90,0
6,7,17,3,5,25,-1
6,8,5,5,0,0,-3
6,8,19,5,10,50,-1
6,8,23,5,20,100,0
6,9,14,6,20,100,0
6,9,21,6,20,100,0
6,9,24,6,20,100,0
6,10,3,1,20,100,0
6,10,11,1,20,100,0
6,10,12,1,19,95,0
6,11,3,1,20,100,0
6,11,10,1,17,85,-3
6,11,12,1,19,95,-1
6,12,3,1,20,100,0
6,12,10,1,17,85,0
6,12,11,1,20,100,0
6,13,1,2,20,100,0
6,13,15,2,17,85,0
6,13,18,2,20,100,0
6,14,9,6,14,70,0
6,14,21,6,20,100,0
6,14,24,6,20,100,0
6,15,1,2,20,100,0
6,15,13,2,12,60,0
6,15,18,2,20,100,0
6,16,2,4,10,50,0
6,16,20,4,20,100,0
6,16,22,4,2,10,0
6,17,4,3,20,100,0
6,17,6,3,18,90,0
6,17,7,3,17,85,0
6,18,1,2,20,100,0
6,18,13,2,12,60,0
6,18,15,2,17,85,0
6,19,5,5,0,0,-4
6,19,8,5,16,80,0
6,19,23,5,20,100,0
6,20,2,4,10,50,0
6,20,16,4,16,80,0
6,20,22,4,2,10,-10
6,21,9,6,14,70,0
6,21,14,6,20,100,0
6,21,24,6,20,100,0
6,22,2,4,10,50,0
6,22,16,4,16,80,0
6,22,20,4,20,100,0
6,23,5,5,0,0,0
6,23,8,5,16,80,0
6,23,19,5,10,50,0
6,24,9,6,14,70,-3
6,24,14,6,20,100,0
6,24,21,6,20,100,0
7,1,10,4,20,100,0
7,1,18,4,20,100,0
7,1,20,4,20,100,0
7,2,3,5,18,90,0
7,2,5,5,0,0,-2
7,2,9,5,13,65,0
7,3,2,5,10,50,0
7,3,5,5,0,0,-3
7,3,9,5,13,65,0
7,4,13,3,17,85,0
7,4,16,3,16,80,0
7,4,21,3,10,50,-3
7,5,2,5,10,50,0
7,5,3,5,18,90,0
7,5,9,5,13,65,0
7,6,8,2,15,75,0
7,6,22,2,3,15,0
7,6,23,2,20,100,0
7,7,14,6,20,100,0
7,7,15,6,20,100,0
7,7,17,6,5,25,-1
7,8,6,2,12,60,0
7,8,22,2,3,15,-2
7,8,23,2,20,100,0
7,9,2,5,10,50,0
7,9,3,5,18,90,0
7,9,5,5,0,0,-2
7,10,1,4,20,100,0
7,10,18,4,20,100,0
7,10,20,4,20,100,0
7,11,12,1,20,100,0
7,11,19,1,10,50,-10
7,11,24,1,20,100,0
7,12,11,1,20,100,0
7,12,19,1,10,50,0
7,12,24,1,20,100,0
7,13,4,3,20,100,0
7,13,16,3,16,80,0
7,13,21,3,10,50,0
7,14,7,6,15,75,0
7,14,15,6,20,100,0
7,14,17,6,5,25,-2
7,15,7,6,15,75,0
7,15,14,6,20,100,0
7,15,17,6,5,25,0
7,16,4,3,20,100,0
7,16,13,3,17,85,0
