Period,Subject,Group,Profit,TotalProfit,contribution,TimeOKStage1OK,sumContribution,Profit1Own,Profit1Group,Profit1,Cost,ReceivedPoints,Reduction,Profit2
19,18,3,22.4,392.6,0,28,6,20,2.4,22.4,0,0,0,22.4
19,19,3,22.4,430,0,28,6,20,2.4,22.4,0,0,0,22.4
19,20,4,19.2,440.6,2,28,3,18,1.2,19.2,0,0,0,19.2
20,1,3,12.4,295.4,20,29,31,0,12.4,12.4,0,0,0,12.4
20,2,4,25,433.6,0,25,30,20,12,32,1,-2,-6,25
20,3,3,32.4,481.8,0,22,31,20,12.4,32.4,0,0,0,32.4
20,4,4,21,416.4,8,18,30,12,12,24,3,0,0,21
20,5,5,15.8,439.8,2,30,2,18,0.8,18.8,3,0,0,15.8
20,6,5,17.8,478,0,22,2,20,0.8,20.8,0,-1,-3,17.8
20,7,2,17,371.2,7,26,10,13,4,17,0,0,0,17
20,8,3,31.4,497.4,1,28,31,19,12.4,31.4,0,0,0,31.4
20,9,1,17.6,411.2,3,23,4,17,1.6,18.6,1,0,0,17.6
20,10,1,17.6,487.2,1,29,4,19,1.6,20.6,0,-1,-3,17.6
20,11,4,24,516.2,2,29,30,18,12,30,0,-2,-6,24
20,12,4,12,384.8,20,27,30,0,12,12,0,0,0,12
20,13,1,21.6,476.8,0,28,4,20,1.6,21.6,0,0,0,21.6
20,14,3,22.4,428.4,10,28,31,10,12.4,22.4,0,0,0,22.4
20,15,2,21,459.6,3,23,10,17,4,21,0,0,0,21
20,16,5,17.8,438.6,0,30,2,20,0.8,20.8,0,-1,-3,17.8
20,17,2,24,407.4,0,29,10,20,4,24,0,0,0,24
20,18,1,21.6,414.2,0,29,4,20,1.6,21.6,0,0,0,21.6
20,19,2,24,454,0,27,10,20,4,24,0,0,0,24
20,20,5,17.8,458.4,0,28,2,20,0.8,20.8,0,-1,-3,17.8
