Period,Subject,Group,Profit,TotalProfit,Participate,Total_Deduct,Total_First_Income,Total_Cost,contribution,percentContribution,sumContribution,n,Profit1Own,Profit1Group,Profit1,Cost,ReceivedPoints,Reduction,Profit2
1,1,4,30.2,55.2,0,0,30.2,0,5,25,38,4,15,15.2,30.2,0,0,0,30.2
1,2,2,21.6,46.6,0,0,21.6,0,8,40,24,4,12,9.6,21.6,0,0,0,21.6
1,3,5,27.2,52.2,0,0,27.2,0,0,0,18,4,20,7.2,27.2,0,0,0,27.2
1,4,1,31.2,56.2,0,0,33.2,2,6,30,48,4,14,19.2,33.2,2,0,0,31.2
1,5,3,16.2,41.2,0,-12,28.2,0,7,35,38,4,13,15.2,28.2,0,-4,-12,16.2
1,6,1,19.2,44.2,0,0,19.2,0,20,100,48,4,0,19.2,19.2,0,0,0,19.2
1,7,5,27.2,52.2,0,0,27.2,0,0,0,18,4,20,7.2,27.2,0,0,0,27.2
1,8,2,26.6,51.6,0,-3,29.6,0,0,0,24,4,20,9.6,29.6,0,-1,-3,26.6
1,9,4,15.2,40.2,0,0,15.2,0,20,100,38,4,0,15.2,15.2,0,0,0,15.2
1,10,1,19.2,44.2,0,0,19.2,0,20,100,48,4,0,19.2,19.2,0,0,0,19.2
1,11,2,18.6,43.6,0,0,19.6,1,10,50,24,4,10,9.6,19.6,1,0,0,18.6
1,12,3,2.2,27.2,0,0,15.2,13,20,100,38,4,0,15.2,15.2,13,0,0,2.2
1,13,2,23.6,48.6,0,0,23.6,0,6,30,24,4,14,9.6,23.6,0,0,0,23.6
1,14,3,14.2,39.2,0,-12,28.2,2,7,35,38,4,13,15.2,28.2,2,-4,-12,14.2
1,15,3,10.2,35.2,0,-21,31.2,0,4,20,38,4,16,15.2,31.2,0,-7,-21,10.2
1,16,1,31.2,56.2,0,-6,37.2,0,2,10,48,4,18,19.2,37.2,0,-2,-6,31.2
1,17,5,25.2,50.2,0,0,25.2,0,2,10,18,4,18,7.2,25.2,0,0,0,25.2
1,18,4,27.2,52.2,0,0,27.2,0,8,40,38,4,12,15.2,27.2,0,0,0,27.2
1,19,4,30.2,55.2,0,0,30.2,0,5,25,38,4,15,15.2,30.2,0,0,0,30.2
1,20,5,11.2,36.2,0,0,11.2,0,16,80,18,4,4,7.2,11.2,0,0,0,11.2
2,1,5,21.4,76.6,0,0,52.6,1,6,30,21,4,14,8.4,22.4,1,0,0,21.4
2,2,2,18.4,65,0,0,40,0,8,40,16,4,12,6.4,18.4,0,0,0,18.4
2,3,2,20.4,72.6,0,-6,53.6,0,0,0,16,4,20,6.4,26.4,0,-2,-6,20.4
2,4,4,25.8,82,0,-3,62,2,12,60,52,4,8,20.8,28.8,0,-1,-3,25.8
2,5,3,29.8,71,0,-12,58,0,15,75,62,4,5,24.8,29.8,0,0,0,29.8
2,6,1,16.8,61,0,0,36,0,10,50,17,4,10,6.8,16.8,0,0,0,16.8
2,7,1,26.8,79,0,0,54,0,0,0,17,4,20,6.8,26.8,0,0,0,26.8
2,8,2,20.4,72,0,-9,56,0,0,0,16,4,20,6.4,26.4,0,-2,-6,20.4
2,9,3,24.8,65,0,0,40,0,20,100,62,4,0,24.8,24.8,0,0,0,24.8
2,10,3,24.8,69,0,0,44,0,20,100,62,4,0,24.8,24.8,0,0,0,24.8
2,11,5,19.4,63,0,0,40,2,8,40,21,4,12,8.4,20.4,1,0,0,19.4
2,12,4,15.8,43,0,0,36,18,20,100,52,4,0,20.8,20.8,5,0,0,15.8
2,13,2,14.4,63,0,0,42,4,8,40,16,4,12,6.4,18.4,4,0,0,14.4
2,14,3,37.8,77,0,-12,66,2,7,35,62,4,13,24.8,37.8,0,0,0,37.8
2,15,4,24.8,60,0,-27,62,0,10,50,52,4,10,20.8,30.8,0,-2,-6,24.8
2,16,1,21.8,78,0,-6,59,0,5,25,17,4,15,6.8,21.8,0,0,0,21.8
2,17,5,20.4,70.6,0,-6,51.6,0,2,10,21,4,18,8.4,26.4,0,-2,-6,20.4
2,18,5,23.4,75.6,0,0,50.6,0,5,25,21,4,15,8.4,23.4,0,0,0,23.4
2,19,4,24.8,80,0,-6,61,0,10,50,52,4,10,20.8,30.8,0,-2,-6,24.8
2,20,1,24.8,61,0,0,36,0,2,10,17,4,18,6.8,24.8,0,0,0,24.8
3,1,4,12,88.6,0,-9,75.6,3,5,25,20,4,15,8,23,2,-3,-9,12
3,2,3,24.8,89.8,0,0,66.8,2,6,30,32,4,14,12.8,26.8,2,0,0,24.8
3,3,4,10,82.6,0,-24,81.6,0,0,0,20,4,20,8,28,0,-6,-18,10
3,4,1,24,106,0,-3,88,4,14,70,50,4,6,20,26,2,0,0,24
3,5,2,15.2,86.2,0,-12,73.2,0,20,100,38,4,0,15.2,15.2,0,0,0,15.2
3,6,2,30.2,91.2,0,-3,69.2,0,2,10,38,4,18,15.2,33.2,0,-1,-3,30.2
3,7,1,24,103,0,-12,90,0,4,20,50,4,16,20,36,0,-4,-12,24
3,8,4,10,82,0,-27,84,0,0,0,20,4,20,8,28,0,-6,-18,10
3,9,5,13.6,78.6,0,0,53.6,0,20,100,34,4,0,13.6,13.6,0,0,0,13.6
3,10,3,12.8,81.8,0,0,56.8,0,20,100,32,4,0,12.8,12.8,0,0,0,12.8
3,11,5,27.6,90.6,0,0,68.6,3,5,25,34,4,15,13.6,28.6,1,0,0,27.6
3,12,1,17,60,0,0,56,21,20,100,50,4,0,20,20,3,0,0,17
3,13,5,26.6,89.6,0,0,68.6,4,7,35,34,4,13,13.6,26.6,0,0,0,26.6
3,14,4,0,77,0,-12,79,15,15,75,20,4,5,8,13,13,0,0,0
3,15,2,18.2,78.2,0,-27,82.2,2,15,75,38,4,5,15.2,20.2,2,0,0,18.2
3,16,3,25.8,103.8,0,-12,90.8,0,1,5,32,4,19,12.8,31.8,0,-2,-6,25.8
3,17,5,28.6,99.2,0,-9,83.2,0,2,10,34,4,18,13.6,31.6,0,-1,-3,28.6
3,18,3,27.8,103.4,0,0,78.4,0,5,25,32,4,15,12.8,27.8,0,0,0,27.8
3,19,1,25,105,0,-9,89,0,12,60,50,4,8,20,28,0,-1,-3,25
3,20,2,31.2,92.2,0,-3,70.2,0,1,5,38,4,19,15.2,34.2,0,-1,-3,31.2
4,1,1,27.6,116.2,0,-9,104.2,4,5,25,34,4,15,13.6,28.6,1,0,0,27.6
4,2,4,26.8,116.6,0,-6,99.6,2,6,30,47,4,14,18.8,32.8,0,-2,-6,26.8
4,3,3,6.4,89,0,-48,114,2,0,0,31,4,20,12.4,32.4,2,-8,-24,6.4
4,4,3,15.4,121.4,0,-3,105.4,6,15,75,31,4,5,12.4,17.4,2,0,0,15.4
4,5,5,21.8,108,0,-12,95,0,15,75,42,4,5,16.8,21.8,0,0,0,21.8
4,6,1,23.6,114.8,0,-9,98.8,0,4,20,34,4,16,13.6,29.6,0,-2,-6,23.6
4,7,2,25,128,0,-12,115,0,5,25,25,4,15,10,25,0,0,0,25
4,8,5,36.8,118.8,0,-27,120.8,0,0,0,42,4,20,16.8,36.8,0,0,0,36.8
4,9,1,13.6,92.2,0,0,67.2,0,20,100,34,4,0,13.6,13.6,0,0,0,13.6
4,10,5,16.8,98.6,0,0,73.6,0,20,100,42,4,0,16.8,16.8,0,0,0,16.8
4,11,1,27.6,118.2,0,0,97.2,4,5,25,34,4,15,13.6,28.6,1,0,0,27.6
4,12,4,15.8,75.8,0,0,74.8,24,20,100,47,4,0,18.8,18.8,3,0,0,15.8
4,13,4,27.8,117.4,0,-3,99.4,4,8,40,47,4,12,18.8,30.8,0,-1,-3,27.8
4,14,3,3.4,80.4,0,-12,96.4,29,15,75,31,4,5,12.4,17.4,14,0,0,3.4
4,15,4,25.8,104,0,-27,108,2,13,65,47,4,7,18.8,25.8,0,0,0,25.8
4,16,5,29.8,133.6,0,-12,120.6,0,7,35,42,4,13,16.8,29.8,0,0,0,29.8
