Period,Subject,Group,Profit,TotalProfit,Participate,Total_Deduct,Total_First_Income,Total_Cost,contribution,percentContribution,sumContribution,n,Profit1Own,Profit1Group,Profit1,Cost,ReceivedPoints,Reduction,Profit2,Temp_Profit,Punish10,Punish10u,Punish10d,TotalProfitEnd,Punish20,Punish20u,Punish20d
20,12,3,21.6,455.2,1,-105,546.2,11,12,60,39,4,8,15.6,23.6,2,0,0,21.6,21.6,-,-,-,430.2,35,30,50
20,13,1,24.4,429.8,1,-21,471.8,46,16,80,56,4,4,22.4,26.4,2,0,0,24.4,24.4,-,-,-,404.8,1,0,2
20,14,4,12.4,366.2,1,-18,471.2,112,18,90,46,4,2,18.4,20.4,8,0,0,12.4,12.4,-,-,-,341.2,8,4,14
20,15,6,10.6,429.6,1,-168,575.6,3,10,50,54,4,10,21.6,31.6,0,-7,-21,10.6,31.6,-,-,-,404.6,65,60,70
20,16,3,5.6,443.4,1,-177,595.4,0,0,0,39,4,20,15.6,35.6,0,-10,-30,5.6,35.6,-,-,-,418.4,0,0,0
20,17,4,20.4,491.4,1,-9,500.4,25,15,75,46,4,5,18.4,23.4,3,0,0,20.4,20.4,-,-,-,466.4,1,0,2
20,18,1,23.4,437.2,1,-15,473.2,46,17,85,56,4,3,22.4,25.4,2,0,0,23.4,23.4,-,-,-,412.2,2,1,4
20,19,4,4.4,376,1,-267,620,2,1,5,46,4,19,18.4,37.4,0,-11,-33,4.4,37.4,-,-,-,351,5,4,3
20,20,3,14.6,479.8,1,-42,525.8,29,15,75,39,4,5,15.6,20.6,6,0,0,14.6,14.6,-,-,-,454.8,5,3,7
20,21,2,25.8,498.4,1,-39,537.4,25,16,80,57,4,4,22.8,26.8,1,0,0,25.8,25.8,-,-,-,473.4,15,12,15
20,22,2,26.8,494.4,1,-9,493.4,15,16,80,57,4,4,22.8,26.8,0,0,0,26.8,26.8,-,-,-,469.4,0,0,0
20,23,5,30,369.6,1,-297,641.6,0,10,50,50,4,10,20,30,0,0,0,30,30,-,-,-,344.6,10,10,50
20,24,1,25.4,439.4,1,-123,561.4,24,11,55,56,4,9,22.4,31.4,0,-2,-6,25.4,31.4,-,-,-,414.4,20,15,25
