Period,Subject,Group,Profit,TotalProfit,contribution,TimeOKStage1OK,sumContribution,Profit1Own,Profit1Group,Profit1,Cost,ReceivedPoints,Reduction,Profit2
1,1,5,22.8,47.8,10,41,32,10,12.8,22.8,0,0,0,22.8
1,2,5,16.8,41.8,7,49,32,13,12.8,25.8,0,-3,-9,16.8
1,3,1,18,43,3,46,25,17,10,27,0,-3,-9,18
1,4,1,19,44,2,45,25,18,10,28,0,-3,-9,19
1,5,4,29.8,54.8,5,44,37,15,14.8,29.8,0,0,0,29.8
1,6,1,0,25,20,46,25,0,10,10,10,0,0,0
1,7,2,15.6,40.6,20,47,39,0,15.6,15.6,0,0,0,15.6
1,8,3,30.2,55.2,4,46,43,16,17.2,33.2,0,-1,-3,30.2
1,9,6,25,50,5,46,40,15,16,31,0,-2,-6,25
1,10,2,29.6,54.6,6,35,39,14,15.6,29.6,0,0,0,29.6
1,11,2,32.6,57.6,3,47,39,17,15.6,32.6,0,0,0,32.6
1,12,3,20.2,45.2,15,47,43,5,17.2,22.2,2,0,0,20.2
1,13,6,10,35,20,47,40,0,16,16,6,0,0,10
1,14,2,25.6,50.6,10,43,39,10,15.6,25.6,0,0,0,25.6
1,15,4,14.8,39.8,20,46,37,0,14.8,14.8,0,0,0,14.8
1,16,4,24.8,49.8,10,42,37,10,14.8,24.8,0,0,0,24.8
1,17,3,17.2,42.2,20,47,43,0,17.2,17.2,0,0,0,17.2
1,18,3,30.2,55.2,4,46,43,16,17.2,33.2,0,-1,-3,30.2
1,19,6,18,43,15,47,40,5,16,21,0,-1,-3,18
1,20,5,12.8,37.8,5,45,32,15,12.8,27.8,0,-5,-15,12.8
1,21,6,27,52,0,31,40,20,16,36,0,-3,-9,27
1,22,4,32.8,57.8,2,35,37,18,14.8,32.8,0,0,0,32.8
1,23,5,14.8,39.8,10,39,32,10,12.8,22.8,8,0,0,14.8
1,24,1,18,43,0,44,25,20,10,30,0,-4,-12,18
2,1,1,25,72.8,15,20,50,5,20,25,0,0,0,25
2,2,3,16.8,58.6,8,26,12,12,4.8,16.8,0,0,0,16.8
